"","Year","Value"
"1026",196506,-0.12
"1027",196507,-0.1
"1028",196508,-0.15
"1029",196509,-0.14
"1030",196510,0.05
"1031",196511,-0.1
"1032",196512,0.02
"1033",196601,-0.08
"1034",196602,0.03
"1035",196603,0.11
"1036",196604,-0.11
"1037",196605,0.03
"1038",196606,0.09
"1039",196607,0.15
"1040",196608,0.16
"1041",196609,0.13
"1042",196610,0.02
"1043",196611,-0.03
"1044",196612,-0.18
"1045",196701,-0.15
"1046",196702,-0.24
"1047",196703,0.15
"1048",196704,0.08
"1049",196705,0.19
"1050",196706,0.03
"1051",196707,0.07
"1052",196708,0.08
"1053",196709,0
"1054",196710,0.23
"1055",196711,0.02
"1056",196712,0.03
"1057",196801,-0.28
"1058",196802,-0.09
"1059",196803,0.45
"1060",196804,0.03
"1061",196805,0.01
"1062",196806,0.02
"1063",196807,-0.01
"1064",196808,-0.01
"1065",196809,-0.02
"1066",196810,0
"1067",196811,-0.07
"1068",196812,-0.2
"1069",196901,-0.5
"1070",196902,-0.42
"1071",196903,0.01
"1072",196904,0.12
"1073",196905,0.08
"1074",196906,0.01
"1075",196907,0.07
"1076",196908,0.07
"1077",196909,0.06
"1078",196910,-0.03
"1079",196911,0.2
"1080",196912,0.3
"1081",197001,0.01
"1082",197002,0.27
"1083",197003,-0.09
"1084",197004,0.08
"1085",197005,0.01
"1086",197006,0.04
"1087",197007,-0.01
"1088",197008,-0.02
"1089",197009,-0.04
"1090",197010,-0.18
"1091",197011,-0.03
"1092",197012,-0.2
"1093",197101,-0.03
"1094",197102,-0.31
"1095",197103,-0.23
"1096",197104,-0.16
"1097",197105,-0.1
"1098",197106,-0.12
"1099",197107,-0.13
"1100",197108,-0.16
"1101",197109,-0.16
"1102",197110,-0.18
"1103",197111,0.08
"1104",197112,-0.02
"1105",197201,-0.61
"1106",197202,-0.48
"1107",197203,-0.07
"1108",197204,-0.02
"1109",197205,-0.09
"1110",197206,-0.02
"1111",197207,-0.02
"1112",197208,-0.05
"1113",197209,-0.22
"1114",197210,-0.08
"1115",197211,-0.16
"1116",197212,0.02
"1117",197301,0.08
"1118",197302,0.39
"1119",197303,0.32
"1120",197304,0.18
"1121",197305,0.16
"1122",197306,0.17
"1123",197307,0.05
"1124",197308,0.02
"1125",197309,-0.05
"1126",197310,-0.06
"1127",197311,-0.05
"1128",197312,0.07
"1129",197401,-0.38
"1130",197402,-0.4
"1131",197403,-0.04
"1132",197404,-0.06
"1133",197405,-0.15
"1134",197406,-0.14
"1135",197407,-0.09
"1136",197408,-0.12
"1137",197409,-0.11
"1138",197410,-0.23
"1139",197411,-0.2
"1140",197412,-0.23
"1141",197501,0.16
"1142",197502,0
"1143",197503,0.17
"1144",197504,0.07
"1145",197505,0.01
"1146",197506,-0.04
"1147",197507,-0.07
"1148",197508,-0.12
"1149",197509,-0.05
"1150",197510,-0.15
"1151",197511,-0.25
"1152",197512,-0.1
"1153",197601,0.06
"1154",197602,-0.21
"1155",197603,-0.41
"1156",197604,0
"1157",197605,-0.19
"1158",197606,-0.19
"1159",197607,-0.22
"1160",197608,-0.18
"1161",197609,-0.11
"1162",197610,-0.45
"1163",197611,-0.28
"1164",197612,-0.19
"1165",197701,-0.3
"1166",197702,0.1
"1167",197703,0.32
"1168",197704,0.26
"1169",197705,0.22
"1170",197706,0.24
"1171",197707,0.09
"1172",197708,0.03
"1173",197709,0.15
"1174",197710,-0.02
"1175",197711,0.28
"1176",197712,0.04
"1177",197801,0.15
"1178",197802,0.09
"1179",197803,0.23
"1180",197804,0.16
"1181",197805,-0.04
"1182",197806,-0.06
"1183",197807,-0.08
"1184",197808,-0.12
"1185",197809,0.02
"1186",197810,0.04
"1187",197811,0.22
"1188",197812,0.07
"1189",197901,0.01
"1190",197902,-0.11
"1191",197903,0.19
"1192",197904,-0.09
"1193",197905,0.05
"1194",197906,0.14
"1195",197907,0.06
"1196",197908,0.08
"1197",197909,0.2
"1198",197910,0.2
"1199",197911,0.17
"1200",197912,0.57
"1201",198001,0.2
"1202",198002,0.27
"1203",198003,0
"1204",198004,0.21
"1205",198005,0.23
"1206",198006,0.23
"1207",198007,0.16
"1208",198008,0.12
"1209",198009,0.12
"1210",198010,0.07
"1211",198011,0.31
"1212",198012,0.17
"1213",198101,0.64
"1214",198102,0.49
"1215",198103,0.59
"1216",198104,0.4
"1217",198105,0.2
"1218",198106,0.28
"1219",198107,0.15
"1220",198108,0.19
"1221",198109,0.16
"1222",198110,0.15
"1223",198111,0.21
"1224",198112,0.53
"1225",198201,-0.03
"1226",198202,0.13
"1227",198203,0.01
"1228",198204,0.21
"1229",198205,0.14
"1230",198206,0.07
"1231",198207,0.08
"1232",198208,-0.01
"1233",198209,0.11
"1234",198210,0.05
"1235",198211,-0.06
"1236",198212,0.42
"1237",198301,0.49
"1238",198302,0.37
"1239",198303,0.36
"1240",198304,0.14
"1241",198305,0.13
"1242",198306,0.15
"1243",198307,0.23
"1244",198308,0.3
"1245",198309,0.26
"1246",198310,0.11
"1247",198311,0.54
"1248",198312,0.19
"1249",198401,0.25
"1250",198402,-0.01
"1251",198403,0.24
"1252",198404,0.05
"1253",198405,0.29
"1254",198406,0.08
"1255",198407,0.05
"1256",198408,0.09
"1257",198409,-0.01
"1258",198410,-0.04
"1259",198411,-0.17
"1260",198412,-0.45
"1261",198501,0.02
"1262",198502,-0.31
"1263",198503,0.03
"1264",198504,0.04
"1265",198505,0.08
"1266",198506,0.04
"1267",198507,-0.09
"1268",198508,-0.01
"1269",198509,-0.03
"1270",198510,-0.02
"1271",198511,-0.01
"1272",198512,0.12
"1273",198601,0.37
"1274",198602,0.24
"1275",198603,0.27
"1276",198604,0.21
"1277",198605,0.17
"1278",198606,0.17
"1279",198607,0.04
"1280",198608,0.07
"1281",198609,0.05
"1282",198610,0.09
"1283",198611,0.02
"1284",198612,0.1
"1285",198701,0.21
"1286",198702,0.57
"1287",198703,0.07
"1288",198704,0.09
"1289",198705,0.27
